"b_asc","b_asc2","b_ziel","b_beratung","b_partner","b_comp","logLike"
0,0,0,0,0,0,-988.751059801299
0,0,0,0,0,0,-988.751059801299
3.8912e-05,-5.11999999999998e-06,2.9184e-05,3.328e-05,2.0992e-05,0.003397632,-970.997435826847
0.0480938493260537,-0.0895116874420298,0.0177110422255602,0.0413800302306959,0.000256779771322595,0.0033238370146142,-964.918919810847
-0.0947656040587517,-0.199257330062239,0.071525660683943,0.150165320818626,0.0105625153569025,0.00403659673410394,-960.643850629264
-1.92142355808485,-2.11209619800205,0.212123221537301,0.16112202348943,0.324846312557278,0.0275645127032735,-951.567649967941
-1.91697930222609,-2.11039768551813,0.0813359445135158,0.22682640289792,0.357705168468117,0.0279874887813763,-951.379398126171
-1.5075675949066,-1.76141095244058,0.119537697803838,0.331098930329219,0.165999345691586,0.0253265251446298,-937.783337520385
-1.41125877064977,-1.67521662723945,0.17771075682673,0.347376081936332,0.29850700658821,0.0231883066166958,-936.01045378902
-1.18080897208778,-1.45894899838113,0.222917508293982,0.364513611768333,0.182451443472498,0.0207240062007486,-934.578448402008
-1.20681244724818,-1.48262302215097,0.217572303929162,0.361635693933732,0.191597896509457,0.0211118613137237,-934.558750094507
-1.20487288517158,-1.48044012955712,0.217209870330426,0.361501124230946,0.191427904669385,0.0210927400284656,-934.558685331223
-1.20471866003104,-1.48024070377869,0.217215186101123,0.361419441055721,0.191392060409161,0.0210919412333151,-934.558684379184
-1.20471918802997,-1.48024140267023,0.217215091335764,0.361419483476005,0.191392064678309,0.0210919241068552,-934.558684378661
